#    L    TT             EE             BB             TE          
   786   0.246046E+04   0.192790E+02   0.929213E-01  -0.112810E+03
   787   0.246563E+04   0.190397E+02   0.930588E-01  -0.111634E+03
   788   0.247066E+04   0.188023E+02   0.931858E-01  -0.110436E+03
   789   0.247556E+04   0.185669E+02   0.933228E-01  -0.109215E+03
   790   0.248038E+04   0.183367E+02   0.934492E-01  -0.107959E+03
   791   0.248499E+04   0.181084E+02   0.935857E-01  -0.106673E+03
   792   0.248948E+04   0.178840E+02   0.937114E-01  -0.105371E+03
   793   0.249376E+04   0.176634E+02   0.938470E-01  -0.104033E+03
   794   0.249783E+04   0.174462E+02   0.939719E-01  -0.102679E+03
   795   0.250177E+04   0.172316E+02   0.941068E-01  -0.101296E+03
   796   0.250570E+04   0.170216E+02   0.942307E-01  -0.998968E+02
   797   0.250929E+04   0.168143E+02   0.943646E-01  -0.984682E+02
   798   0.251275E+04   0.166115E+02   0.944874E-01  -0.970233E+02
   799   0.251606E+04   0.164127E+02   0.946203E-01  -0.955557E+02
   800   0.251924E+04   0.162173E+02   0.947419E-01  -0.940655E+02
   801   0.252221E+04   0.160264E+02   0.948736E-01  -0.925590E+02
   802   0.252491E+04   0.158395E+02   0.949940E-01  -0.910173E+02
   803   0.252760E+04   0.156560E+02   0.951243E-01  -0.894720E+02
   804   0.253002E+04   0.154778E+02   0.952433E-01  -0.878980E+02
   805   0.253235E+04   0.153036E+02   0.953722E-01  -0.863080E+02
   806   0.253442E+04   0.151334E+02   0.954896E-01  -0.847020E+02
   807   0.253629E+04   0.149686E+02   0.956170E-01  -0.830801E+02
   808   0.253795E+04   0.148085E+02   0.957328E-01  -0.814360E+02
   809   0.253952E+04   0.146530E+02   0.958586E-01  -0.797826E+02
   810   0.254083E+04   0.145023E+02   0.959727E-01  -0.781071E+02
   811   0.254193E+04   0.143564E+02   0.960967E-01  -0.764166E+02
   812   0.254288E+04   0.142164E+02   0.962089E-01  -0.747150E+02
   813   0.254363E+04   0.140799E+02   0.963311E-01  -0.730017E+02
   814   0.254429E+04   0.139495E+02   0.964413E-01  -0.712749E+02
   815   0.254469E+04   0.138239E+02   0.965615E-01  -0.695365E+02
   816   0.254481E+04   0.137037E+02   0.966697E-01  -0.677866E+02
   817   0.254478E+04   0.135882E+02   0.967879E-01  -0.660259E+02
   818   0.254467E+04   0.134789E+02   0.968939E-01  -0.642551E+02
   819   0.254429E+04   0.133744E+02   0.970099E-01  -0.624750E+02
   820   0.254376E+04   0.132753E+02   0.971137E-01  -0.606855E+02
   821   0.254296E+04   0.131811E+02   0.972274E-01  -0.588893E+02
   822   0.254201E+04   0.130937E+02   0.973288E-01  -0.570852E+02
   823   0.254085E+04   0.130111E+02   0.974402E-01  -0.552738E+02
   824   0.253942E+04   0.129346E+02   0.975391E-01  -0.534560E+02
   825   0.253790E+04   0.128630E+02   0.976481E-01  -0.516335E+02
   826   0.253611E+04   0.127982E+02   0.977445E-01  -0.498060E+02
   827   0.253411E+04   0.127383E+02   0.978510E-01  -0.479753E+02
   828   0.253202E+04   0.126846E+02   0.979447E-01  -0.461408E+02
   829   0.252966E+04   0.126370E+02   0.980486E-01  -0.443040E+02
   830   0.252715E+04   0.125949E+02   0.981396E-01  -0.424667E+02
   831   0.252443E+04   0.125585E+02   0.982408E-01  -0.406277E+02
   832   0.252149E+04   0.125276E+02   0.983291E-01  -0.387884E+02
   833   0.251841E+04   0.125029E+02   0.984274E-01  -0.369495E+02
   834   0.251505E+04   0.124838E+02   0.985129E-01  -0.351110E+02
   835   0.251160E+04   0.124715E+02   0.986084E-01  -0.332743E+02
   836   0.250782E+04   0.124642E+02   0.986909E-01  -0.314395E+02
   837   0.250394E+04   0.124631E+02   0.987836E-01  -0.296078E+02
   838   0.249986E+04   0.124682E+02   0.988631E-01  -0.277793E+02
   839   0.249550E+04   0.124789E+02   0.989527E-01  -0.259540E+02
   840   0.249105E+04   0.124965E+02   0.990292E-01  -0.241340E+02
   841   0.248639E+04   0.125191E+02   0.991158E-01  -0.223206E+02
   842   0.248152E+04   0.125473E+02   0.991891E-01  -0.205112E+02
   843   0.247650E+04   0.125818E+02   0.992727E-01  -0.187110E+02
   844   0.247120E+04   0.126225E+02   0.993428E-01  -0.169169E+02
   845   0.246581E+04   0.126683E+02   0.994232E-01  -0.151314E+02
   846   0.246027E+04   0.127215E+02   0.994902E-01  -0.133551E+02
   847   0.245458E+04   0.127791E+02   0.995674E-01  -0.115878E+02
   848   0.244868E+04   0.128431E+02   0.996311E-01  -0.983110E+01
   849   0.244250E+04   0.129126E+02   0.997050E-01  -0.808460E+01
   850   0.243630E+04   0.129885E+02   0.997654E-01  -0.634928E+01
   851   0.242982E+04   0.130699E+02   0.998361E-01  -0.462571E+01
   852   0.242319E+04   0.131577E+02   0.998932E-01  -0.291431E+01
   853   0.241640E+04   0.132505E+02   0.999606E-01  -0.121580E+01
   854   0.240941E+04   0.133495E+02   0.100014E+00   0.468562E+00
   855   0.240220E+04   0.134542E+02   0.100078E+00   0.213947E+01
   856   0.239497E+04   0.135634E+02   0.100129E+00   0.379529E+01
   857   0.238746E+04   0.136787E+02   0.100189E+00   0.543530E+01
   858   0.237981E+04   0.138010E+02   0.100236E+00   0.705942E+01
   859   0.237200E+04   0.139264E+02   0.100294E+00   0.866816E+01
   860   0.236411E+04   0.140582E+02   0.100337E+00   0.102590E+02
   861   0.235601E+04   0.141955E+02   0.100391E+00   0.118318E+02
   862   0.234776E+04   0.143379E+02   0.100431E+00   0.133870E+02
   863   0.233936E+04   0.144858E+02   0.100482E+00   0.149229E+02
   864   0.233081E+04   0.146382E+02   0.100518E+00   0.164399E+02
   865   0.232199E+04   0.147963E+02   0.100565E+00   0.179360E+02
   866   0.231333E+04   0.149593E+02   0.100598E+00   0.194118E+02
   867   0.230434E+04   0.151279E+02   0.100642E+00   0.208666E+02
   868   0.229527E+04   0.153009E+02   0.100672E+00   0.223003E+02
   869   0.228605E+04   0.154790E+02   0.100712E+00   0.237122E+02
   870   0.227668E+04   0.156614E+02   0.100738E+00   0.251016E+02
   871   0.226722E+04   0.158487E+02   0.100775E+00   0.264679E+02
   872   0.225763E+04   0.160411E+02   0.100798E+00   0.278115E+02
   873   0.224788E+04   0.162378E+02   0.100832E+00   0.291312E+02
   874   0.223806E+04   0.164395E+02   0.100851E+00   0.304262E+02
   875   0.222808E+04   0.166444E+02   0.100882E+00   0.316977E+02
   876   0.221797E+04   0.168548E+02   0.100898E+00   0.329445E+02
   877   0.220789E+04   0.170689E+02   0.100925E+00   0.341652E+02
   878   0.219755E+04   0.172867E+02   0.100937E+00   0.353603E+02
   879   0.218719E+04   0.175095E+02   0.100961E+00   0.365298E+02
   880   0.217674E+04   0.177360E+02   0.100970E+00   0.376731E+02
   881   0.216615E+04   0.179656E+02   0.100991E+00   0.387887E+02
   882   0.215548E+04   0.181995E+02   0.100997E+00   0.398774E+02
   883   0.214480E+04   0.184378E+02   0.101014E+00   0.409377E+02
   884   0.213391E+04   0.186784E+02   0.101017E+00   0.419715E+02
   885   0.212293E+04   0.189234E+02   0.101031E+00   0.429762E+02
   886   0.211195E+04   0.191720E+02   0.101030E+00   0.439524E+02
   887   0.210081E+04   0.194231E+02   0.101041E+00   0.449000E+02
   888   0.208973E+04   0.196785E+02   0.101038E+00   0.458185E+02
   889   0.207838E+04   0.199357E+02   0.101046E+00   0.467076E+02
   890   0.206707E+04   0.201971E+02   0.101039E+00   0.475662E+02
   891   0.205575E+04   0.204609E+02   0.101044E+00   0.483960E+02
   892   0.204435E+04   0.207272E+02   0.101034E+00   0.491964E+02
   893   0.203281E+04   0.209971E+02   0.101036E+00   0.499661E+02
   894   0.202132E+04   0.212688E+02   0.101023E+00   0.507050E+02
   895   0.200969E+04   0.215428E+02   0.101022E+00   0.514149E+02
   896   0.199804E+04   0.218199E+02   0.101007E+00   0.520934E+02
   897   0.198632E+04   0.220993E+02   0.101003E+00   0.527416E+02
   898   0.197464E+04   0.223804E+02   0.100984E+00   0.533588E+02
   899   0.196289E+04   0.226640E+02   0.100978E+00   0.539445E+02
   900   0.195106E+04   0.229492E+02   0.100956E+00   0.544998E+02
   901   0.193928E+04   0.232362E+02   0.100947E+00   0.550234E+02
   902   0.192743E+04   0.235249E+02   0.100923E+00   0.555159E+02
   903   0.191544E+04   0.238154E+02   0.100911E+00   0.559767E+02
   904   0.190362E+04   0.241068E+02   0.100885E+00   0.564057E+02
   905   0.189167E+04   0.244006E+02   0.100871E+00   0.568029E+02
   906   0.187971E+04   0.246948E+02   0.100841E+00   0.571683E+02
   907   0.186779E+04   0.249900E+02   0.100825E+00   0.575019E+02
   908   0.185593E+04   0.252862E+02   0.100793E+00   0.578041E+02
   909   0.184400E+04   0.255835E+02   0.100774E+00   0.580738E+02
   910   0.183200E+04   0.258823E+02   0.100740E+00   0.583128E+02
   911   0.182005E+04   0.261802E+02   0.100719E+00   0.585193E+02
   912   0.180809E+04   0.264797E+02   0.100683E+00   0.586943E+02
   913   0.179594E+04   0.267789E+02   0.100659E+00   0.588374E+02
   914   0.178409E+04   0.270784E+02   0.100621E+00   0.589496E+02
   915   0.177211E+04   0.273782E+02   0.100595E+00   0.590304E+02
   916   0.176025E+04   0.276776E+02   0.100555E+00   0.590791E+02
   917   0.174832E+04   0.279779E+02   0.100527E+00   0.590976E+02
   918   0.173651E+04   0.282772E+02   0.100485E+00   0.590840E+02
   919   0.172469E+04   0.285762E+02   0.100456E+00   0.590394E+02
   920   0.171287E+04   0.288747E+02   0.100411E+00   0.589634E+02
   921   0.170116E+04   0.291729E+02   0.100380E+00   0.588564E+02
   922   0.168939E+04   0.294700E+02   0.100334E+00   0.587192E+02
   923   0.167768E+04   0.297660E+02   0.100302E+00   0.585515E+02
   924   0.166603E+04   0.300616E+02   0.100254E+00   0.583530E+02
   925   0.165450E+04   0.303555E+02   0.100220E+00   0.581241E+02
   926   0.164290E+04   0.306488E+02   0.100171E+00   0.578660E+02
   927   0.163143E+04   0.309405E+02   0.100135E+00   0.575776E+02
   928   0.162001E+04   0.312311E+02   0.100084E+00   0.572594E+02
   929   0.160860E+04   0.315198E+02   0.100047E+00   0.569127E+02
   930   0.159731E+04   0.318063E+02   0.999953E-01   0.565362E+02
   931   0.158601E+04   0.320921E+02   0.999572E-01   0.561312E+02
   932   0.157484E+04   0.323750E+02   0.999040E-01   0.556977E+02
   933   0.156374E+04   0.326560E+02   0.998647E-01   0.552362E+02
   934   0.155269E+04   0.329359E+02   0.998104E-01   0.547473E+02
   935   0.154171E+04   0.332127E+02   0.997701E-01   0.542293E+02
   936   0.153085E+04   0.334870E+02   0.997148E-01   0.536846E+02
   937   0.152000E+04   0.337595E+02   0.996737E-01   0.531126E+02
   938   0.150927E+04   0.340295E+02   0.996175E-01   0.525139E+02
   939   0.149867E+04   0.342958E+02   0.995756E-01   0.518884E+02
   940   0.148807E+04   0.345602E+02   0.995187E-01   0.512369E+02
   941   0.147759E+04   0.348214E+02   0.994761E-01   0.505593E+02
   942   0.146719E+04   0.350796E+02   0.994185E-01   0.498563E+02
   943   0.145696E+04   0.353346E+02   0.993755E-01   0.491284E+02
   944   0.144681E+04   0.355864E+02   0.993173E-01   0.483750E+02
   945   0.143672E+04   0.358345E+02   0.992738E-01   0.475975E+02
   946   0.142676E+04   0.360800E+02   0.992153E-01   0.467957E+02
   947   0.141687E+04   0.363217E+02   0.991714E-01   0.459710E+02
   948   0.140698E+04   0.365608E+02   0.991126E-01   0.451226E+02
   949   0.139735E+04   0.367949E+02   0.990685E-01   0.442520E+02
   950   0.138778E+04   0.370257E+02   0.990095E-01   0.433584E+02
   951   0.137834E+04   0.372533E+02   0.989654E-01   0.424430E+02
   952   0.136903E+04   0.374770E+02   0.989062E-01   0.415067E+02
   953   0.135979E+04   0.376957E+02   0.988621E-01   0.405487E+02
   954   0.135068E+04   0.379111E+02   0.988029E-01   0.395704E+02
   955   0.134164E+04   0.381220E+02   0.987589E-01   0.385718E+02
   956   0.133273E+04   0.383290E+02   0.986999E-01   0.375531E+02
   957   0.132402E+04   0.385308E+02   0.986562E-01   0.365160E+02
   958   0.131531E+04   0.387281E+02   0.985973E-01   0.354595E+02
   959   0.130686E+04   0.389220E+02   0.985539E-01   0.343847E+02
   960   0.129848E+04   0.391108E+02   0.984954E-01   0.332936E+02
   961   0.129017E+04   0.392949E+02   0.984525E-01   0.321844E+02
   962   0.128206E+04   0.394745E+02   0.983944E-01   0.310591E+02
   963   0.127407E+04   0.396494E+02   0.983520E-01   0.299175E+02
   964   0.126623E+04   0.398191E+02   0.982944E-01   0.287611E+02
   965   0.125845E+04   0.399842E+02   0.982527E-01   0.275893E+02
   966   0.125087E+04   0.401446E+02   0.981958E-01   0.264034E+02
   967   0.124337E+04   0.403003E+02   0.981548E-01   0.252034E+02
   968   0.123600E+04   0.404495E+02   0.980985E-01   0.239899E+02
   969   0.122882E+04   0.405941E+02   0.980584E-01   0.227643E+02
   970   0.122178E+04   0.407340E+02   0.980030E-01   0.215255E+02
   971   0.121482E+04   0.408685E+02   0.979637E-01   0.202752E+02
   972   0.120799E+04   0.409971E+02   0.979092E-01   0.190142E+02
   973   0.120130E+04   0.411204E+02   0.978710E-01   0.177419E+02
   974   0.119481E+04   0.412389E+02   0.978175E-01   0.164591E+02
   975   0.118845E+04   0.413521E+02   0.977804E-01   0.151675E+02
   976   0.118223E+04   0.414587E+02   0.977280E-01   0.138665E+02
   977   0.117614E+04   0.415605E+02   0.976920E-01   0.125576E+02
   978   0.117014E+04   0.416569E+02   0.976408E-01   0.112406E+02
   979   0.116439E+04   0.417480E+02   0.976061E-01   0.991669E+01
   980   0.115872E+04   0.418330E+02   0.975561E-01   0.858578E+01
   981   0.115318E+04   0.419114E+02   0.975228E-01   0.724856E+01
   982   0.114779E+04   0.419856E+02   0.974741E-01   0.590593E+01
   983   0.114259E+04   0.420538E+02   0.974421E-01   0.455803E+01
   984   0.113748E+04   0.421148E+02   0.973948E-01   0.320552E+01
   985   0.113256E+04   0.421715E+02   0.973644E-01   0.184884E+01
   986   0.112772E+04   0.422221E+02   0.973185E-01   0.488859E+00
   987   0.112302E+04   0.422667E+02   0.972897E-01  -0.874409E+00
   988   0.111852E+04   0.423064E+02   0.972453E-01  -0.223996E+01
   989   0.111416E+04   0.423395E+02   0.972181E-01  -0.360667E+01
   990   0.110993E+04   0.423694E+02   0.971753E-01  -0.497556E+01
   991   0.110585E+04   0.423909E+02   0.971497E-01  -0.634500E+01
   992   0.110191E+04   0.424069E+02   0.971086E-01  -0.771489E+01
   993   0.109805E+04   0.424168E+02   0.970848E-01  -0.908460E+01
   994   0.109439E+04   0.424218E+02   0.970453E-01  -0.104529E+02
   995   0.109093E+04   0.424207E+02   0.970233E-01  -0.118203E+02
   996   0.108755E+04   0.424123E+02   0.969856E-01  -0.131855E+02
   997   0.108431E+04   0.424002E+02   0.969653E-01  -0.145491E+02
   998   0.108121E+04   0.423813E+02   0.969294E-01  -0.159086E+02
   999   0.107825E+04   0.423570E+02   0.969111E-01  -0.172652E+02
  1000   0.107543E+04   0.423271E+02   0.968770E-01  -0.186182E+02
  1001   0.107275E+04   0.422910E+02   0.968605E-01  -0.199658E+02
  1002   0.107016E+04   0.422489E+02   0.968283E-01  -0.213085E+02
  1003   0.106777E+04   0.422018E+02   0.968138E-01  -0.226462E+02
  1004   0.106551E+04   0.421486E+02   0.967835E-01  -0.239776E+02
  1005   0.106345E+04   0.420899E+02   0.967710E-01  -0.253014E+02
  1006   0.106148E+04   0.420251E+02   0.967426E-01  -0.266187E+02
  1007   0.105959E+04   0.419547E+02   0.967320E-01  -0.279284E+02
  1008   0.105767E+04   0.418788E+02   0.967056E-01  -0.292296E+02
  1009   0.105606E+04   0.417974E+02   0.966971E-01  -0.305222E+02
  1010   0.105458E+04   0.417110E+02   0.966726E-01  -0.318057E+02
  1011   0.105319E+04   0.416197E+02   0.966662E-01  -0.330794E+02
  1012   0.105195E+04   0.415222E+02   0.966437E-01  -0.343442E+02
  1013   0.105084E+04   0.414204E+02   0.966393E-01  -0.355973E+02
  1014   0.104987E+04   0.413125E+02   0.966188E-01  -0.368402E+02
  1015   0.104892E+04   0.412003E+02   0.966165E-01  -0.380712E+02
  1016   0.104817E+04   0.410820E+02   0.965980E-01  -0.392907E+02
  1017   0.104756E+04   0.409593E+02   0.965978E-01  -0.404981E+02
  1018   0.104703E+04   0.408305E+02   0.965813E-01  -0.416926E+02
  1019   0.104658E+04   0.406979E+02   0.965831E-01  -0.428743E+02
  1020   0.104633E+04   0.405588E+02   0.965686E-01  -0.440424E+02
  1021   0.104616E+04   0.404153E+02   0.965725E-01  -0.451968E+02
  1022   0.104606E+04   0.402674E+02   0.965600E-01  -0.463370E+02
  1023   0.104611E+04   0.401141E+02   0.965660E-01  -0.474606E+02
  1024   0.104624E+04   0.399559E+02   0.965555E-01  -0.485702E+02
  1025   0.104644E+04   0.397940E+02   0.965636E-01  -0.496619E+02
  1026   0.104696E+04   0.396266E+02   0.965550E-01  -0.507389E+02
  1027   0.104738E+04   0.394560E+02   0.965651E-01  -0.517996E+02
  1028   0.104788E+04   0.392805E+02   0.965586E-01  -0.528426E+02
  1029   0.104852E+04   0.391002E+02   0.965706E-01  -0.538697E+02
  1030   0.104924E+04   0.389162E+02   0.965660E-01  -0.548789E+02
  1031   0.104992E+04   0.387279E+02   0.965801E-01  -0.558692E+02
  1032   0.105086E+04   0.385342E+02   0.965774E-01  -0.568444E+02
  1033   0.105181E+04   0.383374E+02   0.965935E-01  -0.578004E+02
  1034   0.105295E+04   0.381374E+02   0.965926E-01  -0.587373E+02
  1035   0.105412E+04   0.379327E+02   0.966106E-01  -0.596560E+02
  1036   0.105537E+04   0.377237E+02   0.966117E-01  -0.605559E+02
  1037   0.105669E+04   0.375116E+02   0.966316E-01  -0.614364E+02
  1038   0.105814E+04   0.372964E+02   0.966344E-01  -0.622975E+02
  1039   0.105968E+04   0.370770E+02   0.966562E-01  -0.631363E+02
  1040   0.106118E+04   0.368540E+02   0.966608E-01  -0.639565E+02
  1041   0.106286E+04   0.366285E+02   0.966844E-01  -0.647543E+02
  1042   0.106457E+04   0.363988E+02   0.966907E-01  -0.655330E+02
  1043   0.106635E+04   0.361660E+02   0.967161E-01  -0.662891E+02
  1044   0.106827E+04   0.359297E+02   0.967241E-01  -0.670254E+02
  1045   0.107014E+04   0.356920E+02   0.967512E-01  -0.677418E+02
  1046   0.107215E+04   0.354502E+02   0.967608E-01  -0.684326E+02
  1047   0.107423E+04   0.352054E+02   0.967896E-01  -0.691090E+02
  1048   0.107628E+04   0.349581E+02   0.968008E-01  -0.697598E+02
  1049   0.107846E+04   0.347085E+02   0.968312E-01  -0.703849E+02
  1050   0.108065E+04   0.344558E+02   0.968439E-01  -0.709899E+02
  1051   0.108292E+04   0.342008E+02   0.968759E-01  -0.715748E+02
  1052   0.108526E+04   0.339434E+02   0.968901E-01  -0.721338E+02
  1053   0.108757E+04   0.336836E+02   0.969235E-01  -0.726725E+02
  1054   0.108994E+04   0.334221E+02   0.969391E-01  -0.731909E+02
  1055   0.109233E+04   0.331588E+02   0.969740E-01  -0.736833E+02
  1056   0.109480E+04   0.328932E+02   0.969909E-01  -0.741554E+02
  1057   0.109733E+04   0.326258E+02   0.970271E-01  -0.746014E+02
  1058   0.109999E+04   0.323574E+02   0.970453E-01  -0.750271E+02
  1059   0.110261E+04   0.320866E+02   0.970828E-01  -0.754266E+02
  1060   0.110524E+04   0.318143E+02   0.971022E-01  -0.758056E+02
  1061   0.110788E+04   0.315413E+02   0.971409E-01  -0.761584E+02
  1062   0.111060E+04   0.312668E+02   0.971614E-01  -0.764907E+02
  1063   0.111321E+04   0.309912E+02   0.972012E-01  -0.767967E+02
  1064   0.111595E+04   0.307146E+02   0.972227E-01  -0.770876E+02
  1065   0.111870E+04   0.304365E+02   0.972637E-01  -0.773523E+02
  1066   0.112140E+04   0.301579E+02   0.972861E-01  -0.775908E+02
  1067   0.112423E+04   0.298789E+02   0.973281E-01  -0.778030E+02
  1068   0.112701E+04   0.295989E+02   0.973514E-01  -0.779944E+02
  1069   0.112980E+04   0.293191E+02   0.973943E-01  -0.781706E+02
  1070   0.113265E+04   0.290379E+02   0.974184E-01  -0.783204E+02
  1071   0.113540E+04   0.287574E+02   0.974620E-01  -0.784439E+02
  1072   0.113822E+04   0.284761E+02   0.974869E-01  -0.785410E+02
  1073   0.114110E+04   0.281950E+02   0.975313E-01  -0.786174E+02
  1074   0.114387E+04   0.279142E+02   0.975567E-01  -0.786728E+02
  1075   0.114671E+04   0.276326E+02   0.976018E-01  -0.787074E+02
  1076   0.114950E+04   0.273519E+02   0.976277E-01  -0.787156E+02
  1077   0.115235E+04   0.270715E+02   0.976734E-01  -0.787085E+02
  1078   0.115509E+04   0.267920E+02   0.976998E-01  -0.786639E+02
  1079   0.115784E+04   0.265123E+02   0.977459E-01  -0.786095E+02
  1080   0.116065E+04   0.262331E+02   0.977727E-01  -0.785342E+02
  1081   0.116336E+04   0.259559E+02   0.978191E-01  -0.784324E+02
  1082   0.116606E+04   0.256791E+02   0.978462E-01  -0.783098E+02
  1083   0.116877E+04   0.254027E+02   0.978930E-01  -0.781662E+02
  1084   0.117149E+04   0.251280E+02   0.979202E-01  -0.780018E+02
  1085   0.117415E+04   0.248542E+02   0.979672E-01  -0.778110E+02
  1086   0.117681E+04   0.245821E+02   0.979945E-01  -0.776103E+02
  1087   0.117942E+04   0.243116E+02   0.980416E-01  -0.773722E+02
  1088   0.118198E+04   0.240411E+02   0.980689E-01  -0.771244E+02
  1089   0.118454E+04   0.237733E+02   0.981161E-01  -0.768500E+02
  1090   0.118704E+04   0.235072E+02   0.981433E-01  -0.765659E+02
  1091   0.118955E+04   0.232423E+02   0.981903E-01  -0.762499E+02
  1092   0.119205E+04   0.229790E+02   0.982174E-01  -0.759186E+02
  1093   0.119444E+04   0.227186E+02   0.982643E-01  -0.755665E+02
  1094   0.119673E+04   0.224593E+02   0.982910E-01  -0.751990E+02
  1095   0.119912E+04   0.222035E+02   0.983377E-01  -0.748162E+02
  1096   0.120140E+04   0.219483E+02   0.983641E-01  -0.744072E+02
  1097   0.120362E+04   0.216960E+02   0.984104E-01  -0.739775E+02
  1098   0.120584E+04   0.214467E+02   0.984363E-01  -0.735325E+02
  1099   0.120800E+04   0.211996E+02   0.984822E-01  -0.730722E+02
  1100   0.121011E+04   0.209555E+02   0.985076E-01  -0.725913E+02
  1101   0.121216E+04   0.207133E+02   0.985529E-01  -0.720935E+02
  1102   0.121426E+04   0.204740E+02   0.985777E-01  -0.715774E+02
  1103   0.121618E+04   0.202377E+02   0.986224E-01  -0.710450E+02
  1104   0.121811E+04   0.200049E+02   0.986464E-01  -0.704954E+02
  1105   0.121992E+04   0.197746E+02   0.986905E-01  -0.699304E+02
  1106   0.122173E+04   0.195468E+02   0.987137E-01  -0.693487E+02
  1107   0.122347E+04   0.193226E+02   0.987570E-01  -0.687517E+02
  1108   0.122516E+04   0.191010E+02   0.987793E-01  -0.681399E+02
  1109   0.122673E+04   0.188813E+02   0.988217E-01  -0.675128E+02
  1110   0.122829E+04   0.186670E+02   0.988430E-01  -0.668715E+02
  1111   0.122974E+04   0.184557E+02   0.988845E-01  -0.662157E+02
  1112   0.123123E+04   0.182476E+02   0.989048E-01  -0.655470E+02
  1113   0.123256E+04   0.180438E+02   0.989452E-01  -0.648637E+02
  1114   0.123382E+04   0.178426E+02   0.989643E-01  -0.641683E+02
  1115   0.123507E+04   0.176457E+02   0.990036E-01  -0.634606E+02
  1116   0.123626E+04   0.174525E+02   0.990215E-01  -0.627403E+02
  1117   0.123733E+04   0.172631E+02   0.990596E-01  -0.620085E+02
  1118   0.123834E+04   0.170781E+02   0.990762E-01  -0.612642E+02
  1119   0.123933E+04   0.168963E+02   0.991130E-01  -0.605096E+02
  1120   0.124021E+04   0.167189E+02   0.991282E-01  -0.597442E+02
  1121   0.124103E+04   0.165453E+02   0.991637E-01  -0.589676E+02
  1122   0.124178E+04   0.163756E+02   0.991775E-01  -0.581820E+02
  1123   0.124241E+04   0.162108E+02   0.992116E-01  -0.573869E+02
  1124   0.124303E+04   0.160493E+02   0.992237E-01  -0.565824E+02
  1125   0.124353E+04   0.158923E+02   0.992564E-01  -0.557685E+02
  1126   0.124396E+04   0.157397E+02   0.992670E-01  -0.549470E+02
  1127   0.124433E+04   0.155910E+02   0.992980E-01  -0.541174E+02
  1128   0.124463E+04   0.154474E+02   0.993069E-01  -0.532808E+02
  1129   0.124486E+04   0.153082E+02   0.993364E-01  -0.524363E+02
  1130   0.124493E+04   0.151730E+02   0.993436E-01  -0.515854E+02
  1131   0.124503E+04   0.150422E+02   0.993713E-01  -0.507289E+02
  1132   0.124501E+04   0.149160E+02   0.993767E-01  -0.498656E+02
  1133   0.124487E+04   0.147949E+02   0.994028E-01  -0.489973E+02
  1134   0.124471E+04   0.146777E+02   0.994063E-01  -0.481236E+02
  1135   0.124444E+04   0.145651E+02   0.994305E-01  -0.472450E+02
  1136   0.124409E+04   0.144576E+02   0.994322E-01  -0.463631E+02
  1137   0.124368E+04   0.143541E+02   0.994545E-01  -0.454760E+02
  1138   0.124320E+04   0.142563E+02   0.994542E-01  -0.445864E+02
  1139   0.124265E+04   0.141619E+02   0.994747E-01  -0.436927E+02
  1140   0.124198E+04   0.140732E+02   0.994724E-01  -0.427972E+02
  1141   0.124124E+04   0.139881E+02   0.994909E-01  -0.418988E+02
  1142   0.124044E+04   0.139086E+02   0.994865E-01  -0.409987E+02
  1143   0.123956E+04   0.138332E+02   0.995030E-01  -0.400975E+02
  1144   0.123851E+04   0.137624E+02   0.994966E-01  -0.391952E+02
  1145   0.123749E+04   0.136973E+02   0.995110E-01  -0.382920E+02
  1146   0.123636E+04   0.136363E+02   0.995024E-01  -0.373884E+02
  1147   0.123515E+04   0.135805E+02   0.995148E-01  -0.364850E+02
  1148   0.123382E+04   0.135288E+02   0.995041E-01  -0.355819E+02
  1149   0.123248E+04   0.134822E+02   0.995143E-01  -0.346802E+02
  1150   0.123101E+04   0.134403E+02   0.995014E-01  -0.337795E+02
  1151   0.122952E+04   0.134031E+02   0.995095E-01  -0.328804E+02
  1152   0.122786E+04   0.133705E+02   0.994943E-01  -0.319834E+02
  1153   0.122624E+04   0.133431E+02   0.995002E-01  -0.310892E+02
  1154   0.122449E+04   0.133204E+02   0.994827E-01  -0.301969E+02
  1155   0.122268E+04   0.133023E+02   0.994865E-01  -0.293081E+02
  1156   0.122074E+04   0.132884E+02   0.994667E-01  -0.284235E+02
  1157   0.121873E+04   0.132791E+02   0.994683E-01  -0.275420E+02
  1158   0.121671E+04   0.132750E+02   0.994462E-01  -0.266654E+02
  1159   0.121461E+04   0.132750E+02   0.994455E-01  -0.257933E+02
  1160   0.121235E+04   0.132802E+02   0.994211E-01  -0.249272E+02
  1161   0.121011E+04   0.132896E+02   0.994181E-01  -0.240658E+02
  1162   0.120776E+04   0.133036E+02   0.993914E-01  -0.232107E+02
  1163   0.120534E+04   0.133223E+02   0.993862E-01  -0.223619E+02
  1164   0.120290E+04   0.133456E+02   0.993571E-01  -0.215196E+02
  1165   0.120034E+04   0.133730E+02   0.993496E-01  -0.206839E+02
  1166   0.119766E+04   0.134051E+02   0.993182E-01  -0.198559E+02
  1167   0.119501E+04   0.134413E+02   0.993084E-01  -0.190356E+02
  1168   0.119225E+04   0.134822E+02   0.992746E-01  -0.182227E+02
  1169   0.118947E+04   0.135271E+02   0.992626E-01  -0.174193E+02
  1170   0.118662E+04   0.135762E+02   0.992264E-01  -0.166234E+02
  1171   0.118365E+04   0.136299E+02   0.992121E-01  -0.158372E+02
  1172   0.118066E+04   0.136877E+02   0.991736E-01  -0.150602E+02
