# row  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR
#     degrees   pixel  pixel   pixel  pixel                             

    1   INDEF 1087.24  INDEF  778.56  INDEF    -506.    INDEF      INDEF
  254    0.95 1084.84   0.41  774.58   0.43     -1.9   0.0481     0.0253
  255    1.13 1084.51   0.46  774.54   0.48    -1.83   0.0476     0.0261
  256    1.05 1085.36   0.45  774.94   0.47    -1.88   0.0484     0.0258
  257    1.08 1085.36   0.46  774.94   0.48    -1.84   0.0485     0.0264
  258    0.96 1085.06   0.44  774.14   0.46    -1.91   0.0483     0.0253
  259    0.92 1085.67   0.42  774.78   0.44    -1.94   0.0464     0.0238
  260    0.90 1085.67   0.42  774.78   0.43    -1.93   0.0472     0.0244
  261    0.85 1085.77   0.40  774.93   0.41    -1.86   0.0466      0.025
  262    0.84 1085.77   0.39  774.93   0.41    -1.85   0.0441     0.0239
  263    0.88 1085.15   0.42  775.35   0.43    -1.77   0.0449     0.0255
  264    0.86 1086.11   0.41  775.57   0.43    -1.77   0.0446     0.0253
  265    0.91 1086.15   0.44  775.35   0.46    -1.72   0.0461     0.0267
  266    0.93 1086.24   0.45  775.50   0.47    -1.77   0.0441     0.0249
  267    0.90 1086.07   0.46  775.25   0.48    -1.71   0.0442     0.0258
  268    0.88 1085.75   0.44  775.04   0.46    -1.76   0.0443     0.0252
  269    0.88 1086.12   0.46  775.64   0.48    -1.74   0.0432     0.0248
  270    0.90 1086.72   0.45  775.25   0.47    -1.72   0.0445     0.0259
  271    0.87 1086.73   0.45  775.24   0.47    -1.71   0.0438     0.0256
  272    0.79 1086.73   0.41  775.24   0.42    -1.74   0.0409     0.0235
  273    0.84 1085.26   0.44  775.09   0.45    -1.67   0.0422     0.0253
  274    0.76 1085.26   0.42  775.09   0.43    -1.78   0.0422     0.0237
  275    0.81 1085.26   0.44  775.09   0.46    -1.62   0.0427     0.0263
  276    0.87 1084.78   0.45  775.41   0.47    -1.57   0.0416     0.0264
  277    0.76 1085.26   0.43  776.17   0.44    -1.66   0.0413     0.0249
  278    0.81 1085.26   0.44  776.17   0.46    -1.57   0.0398     0.0254
  279    0.85 1085.49   0.46  776.52   0.48    -1.51   0.0396     0.0263
  280    0.81 1084.45   0.45  776.42   0.46    -1.52   0.0413     0.0273
  281    0.78 1084.94   0.44  776.08   0.45     -1.5   0.0434     0.0289
  282    0.79 1085.91   0.44  775.41   0.46    -1.46   0.0449     0.0307
  283    0.85 1085.45   0.48  775.73   0.50    -1.47   0.0469      0.032
  284    0.78 1085.03   0.44  776.02   0.46    -1.48   0.0446     0.0301
  285    0.83 1085.63   0.47  775.60   0.48    -1.46   0.0444     0.0303
  286    0.79 1085.63   0.45  775.60   0.47    -1.47   0.0413     0.0281
  287    0.83 1085.58   0.47  775.63   0.49    -1.45   0.0404     0.0279
  288    0.82 1085.58   0.47  775.63   0.49    -1.42   0.0368      0.026
  289    0.87 1085.58   0.50  775.63   0.52    -1.38   0.0377     0.0274
  290    0.85 1085.58   0.49  775.63   0.50    -1.37   0.0372     0.0272
  291    0.83 1085.41   0.49  775.74   0.51    -1.37   0.0373     0.0272
  292    0.76 1085.53   0.46  775.65   0.47    -1.44   0.0366     0.0255
  293    0.78 1085.53   0.47  775.65   0.49     -1.4   0.0375     0.0267
  294    0.80 1085.51   0.48  775.62   0.50    -1.35   0.0364     0.0269
  295    0.76 1086.51   0.46  774.96   0.48    -1.41   0.0364     0.0259
  296    0.83 1086.51   0.47  774.96   0.49    -1.35    0.036     0.0266
  297    0.75 1085.70   0.46  773.70   0.48    -1.38   0.0365     0.0265
  298    0.77 1085.70   0.48  773.70   0.50     -1.3   0.0355     0.0273
  299    0.72 1085.70   0.45  773.70   0.47    -1.35   0.0343     0.0254
  300    0.79 1085.70   0.50  773.70   0.51    -1.28   0.0357     0.0279
  301    0.75 1084.80   0.47  774.14   0.49    -1.31   0.0343     0.0261
  302    0.79 1085.02   0.47  774.00   0.49    -1.34   0.0352     0.0264
  303    0.84 1084.59   0.51  773.34   0.54    -1.22   0.0349     0.0285
  304    0.75 1084.59   0.47  773.34   0.49    -1.37   0.0341      0.025
  305    0.70 1084.59   0.48  773.34   0.50    -1.31    0.034     0.0259
  306    0.73 1084.59   0.49  773.34   0.52     -1.3   0.0338      0.026
  307    0.76 1085.28   0.52  772.88   0.54    -1.32   0.0353     0.0266
  308    0.95 1083.04   0.68  771.78   0.71    -1.24   0.0375     0.0301
  309    0.89 1083.04   0.64  771.78   0.67    -1.24   0.0369     0.0297
  310    0.94 1084.85   0.67  772.37   0.69    -1.27   0.0374     0.0293
  311    0.87 1083.76   0.58  772.05   0.60    -1.25   0.0402     0.0321
  312    0.89 1084.39   0.60  772.93   0.62    -1.18   0.0418     0.0353
  313    0.85 1084.27   0.59  773.30   0.61    -1.15    0.041     0.0356
  314    0.87 1084.00   0.60  773.49   0.62    -1.11   0.0438     0.0396
