# row       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E
#     pixel**1/4                                                            

    1    0.00000   -10.8    INDEF    INDEF        INDEF        INDEF   INDEF
  150    3.49379   -7.18   0.0011   0.0011     1.2416E8     1.2794E8   -20.2
  151    3.49964   -7.18  0.00114  0.00114     1.2475E8     1.2861E8   -20.2
  152    3.50545   -7.16  0.00112  0.00112     1.2536E8     1.2926E8   -20.2
  153    3.51124   -7.15   0.0011   0.0011     1.2624E8     1.2990E8   -20.3
  154    3.51700   -7.14   0.0012   0.0012     1.2676E8     1.3057E8   -20.3
  155    3.52274   -7.13  0.00124  0.00123     1.2779E8     1.3121E8   -20.3
  156    3.52844   -7.12  0.00123  0.00123     1.2832E8     1.3188E8   -20.3
  157    3.53412   -7.11  0.00127  0.00127     1.2866E8     1.3252E8   -20.3
  158    3.53977    -7.1  0.00122  0.00122     1.2938E8     1.3316E8   -20.3
  159    3.54539   -7.09  0.00122  0.00122     1.2987E8     1.3381E8   -20.3
  160    3.55099   -7.08  0.00117  0.00117     1.3072E8     1.3444E8   -20.3
  161    3.55656   -7.06  0.00119  0.00119     1.3160E8     1.3507E8   -20.3
  162    3.56210   -7.05  0.00124  0.00124     1.3236E8     1.3570E8   -20.3
  163    3.56762   -7.05  0.00124  0.00124     1.3282E8     1.3636E8   -20.3
  164    3.57311   -7.04  0.00128  0.00128     1.3331E8     1.3699E8   -20.3
  165    3.57858   -7.03  0.00123  0.00123     1.3390E8     1.3760E8   -20.3
  166    3.58402   -7.01  0.00128  0.00128     1.3453E8     1.3824E8   -20.3
  167    3.58944   -7.01  0.00135  0.00135     1.3486E8     1.3885E8   -20.3
  168    3.59484     -7.  0.00134  0.00134     1.3533E8     1.3950E8   -20.3
  169    3.60021   -6.99  0.00123  0.00123     1.3605E8     1.4010E8   -20.3
  170    3.60555   -6.98  0.00133  0.00133     1.3670E8     1.4071E8   -20.3
  171    3.61087   -6.97  0.00132  0.00132     1.3717E8     1.4136E8   -20.3
  172    3.61617   -6.97  0.00131  0.00131     1.3781E8     1.4196E8   -20.3
  173    3.62145   -6.96  0.00128  0.00128     1.3829E8     1.4258E8   -20.4
  174    3.62670   -6.95  0.00132  0.00132     1.3879E8     1.4319E8   -20.4
  175    3.63193   -6.94   0.0014   0.0014     1.3925E8     1.4382E8   -20.4
  176    3.63714   -6.93  0.00138  0.00138     1.3984E8     1.4444E8   -20.4
  177    3.64232   -6.92  0.00137  0.00137     1.4036E8     1.4502E8   -20.4
  178    3.64748   -6.91  0.00135  0.00135     1.4109E8     1.4563E8   -20.4
  179    3.65262    -6.9  0.00139  0.00138     1.4177E8     1.4622E8   -20.4
  180    3.65774    -6.9  0.00144  0.00144     1.4235E8     1.4684E8   -20.4
  181    3.66284   -6.88  0.00135  0.00135     1.4295E8     1.4745E8   -20.4
  182    3.66792   -6.88  0.00134  0.00134     1.4355E8     1.4803E8   -20.4
  183    3.67297   -6.87  0.00133  0.00132     1.4413E8     1.4863E8   -20.4
  184    3.67801   -6.86  0.00134  0.00134     1.4440E8     1.4924E8   -20.4
  185    3.68302   -6.84  0.00131   0.0013     1.4541E8     1.4984E8   -20.4
  186    3.68802   -6.83  0.00132  0.00132     1.4600E8     1.5042E8   -20.4
  187    3.69299   -6.83  0.00133  0.00132     1.4640E8     1.5100E8   -20.4
  188    3.69794   -6.82  0.00136  0.00135     1.4721E8     1.5161E8   -20.4
  189    3.70288    -6.8  0.00138  0.00137     1.4779E8     1.5219E8   -20.4
  190    3.70779    -6.8  0.00129  0.00129     1.4836E8     1.5277E8   -20.4
  191    3.71269   -6.79  0.00137  0.00137     1.4890E8     1.5335E8   -20.4
  192    3.71756   -6.78  0.00138  0.00138     1.4923E8     1.5392E8   -20.4
  193    3.72242   -6.78  0.00143  0.00143     1.4975E8     1.5451E8   -20.4
  194    3.72726   -6.76  0.00143  0.00143     1.5066E8     1.5508E8   -20.4
  195    3.73208   -6.75  0.00145  0.00145     1.5123E8     1.5567E8   -20.4
  196    3.73688   -6.75  0.00138  0.00138     1.5162E8     1.5625E8   -20.5
  197    3.74166   -6.74  0.00148  0.00147     1.5213E8     1.5682E8   -20.5
  198    3.74642   -6.74  0.00145  0.00145     1.5252E8     1.5740E8   -20.5
  199    3.75117   -6.73  0.00146  0.00146     1.5324E8     1.5796E8   -20.5
  200    3.75589   -6.72  0.00142  0.00142     1.5361E8     1.5854E8   -20.5
  201    3.76060   -6.71   0.0014  0.00139     1.5423E8     1.5910E8   -20.5
  202    3.76530    -6.7  0.00152  0.00152     1.5501E8     1.5968E8   -20.5
  203    3.76997    -6.7  0.00153  0.00153     1.5540E8     1.6024E8   -20.5
  204    3.77463   -6.69  0.00157  0.00157     1.5595E8     1.6079E8   -20.5
  205    3.77927   -6.68   0.0016   0.0016     1.5649E8     1.6137E8   -20.5
  206    3.78389   -6.67  0.00157  0.00157     1.5697E8     1.6194E8   -20.5
  207    3.78850   -6.66  0.00165  0.00165     1.5772E8     1.6250E8   -20.5
  208    3.79309   -6.66  0.00159  0.00159     1.5818E8     1.6304E8   -20.5
  209    3.79766   -6.65  0.00163  0.00162     1.5849E8     1.6360E8   -20.5
  210    3.80221   -6.64  0.00167  0.00167     1.5896E8     1.6416E8   -20.5
  211    3.80675   -6.63   0.0016  0.00159     1.5971E8     1.6471E8   -20.5
  212    3.81128   -6.63  0.00155  0.00154     1.6013E8     1.6526E8   -20.5
  213    3.81579   -6.63  0.00154  0.00154     1.6037E8     1.6582E8   -20.5
  214    3.82028   -6.62  0.00146  0.00145     1.6090E8     1.6637E8   -20.5
  215    3.82475   -6.61  0.00147  0.00147     1.6145E8     1.6692E8   -20.5
  216    3.82921   -6.61  0.00154  0.00154     1.6150E8     1.6747E8   -20.5
  217    3.83366    -6.6  0.00153  0.00153     1.6205E8     1.6800E8   -20.5
  218    3.83809   -6.59  0.00145  0.00145     1.6252E8     1.6856E8   -20.5
  219    3.84250   -6.59  0.00157  0.00157     1.6299E8     1.6911E8   -20.5
  220    3.84690   -6.59  0.00171  0.00171     1.6311E8     1.6965E8   -20.5
  221    3.85129   -6.59  0.00184  0.00184     1.6336E8     1.7019E8   -20.5
  222    3.85565   -6.58  0.00185  0.00185     1.6392E8     1.7074E8   -20.5
  223    3.86001   -6.57  0.00177  0.00177     1.6475E8     1.7128E8   -20.5
  224    3.86435   -6.56  0.00173  0.00172     1.6550E8     1.7183E8   -20.5
  225    3.86867   -6.55  0.00177  0.00176     1.6604E8     1.7235E8   -20.6
  226    3.87298   -6.54  0.00168  0.00168     1.6645E8     1.7290E8   -20.6
  227    3.87728   -6.53  0.00164  0.00164     1.6706E8     1.7343E8   -20.6
  228    3.88156   -6.52  0.00158  0.00157     1.6778E8     1.7396E8   -20.6
  229    3.88583   -6.52  0.00162  0.00162     1.6825E8     1.7449E8   -20.6
  230    3.89008   -6.51  0.00161  0.00161     1.6877E8     1.7503E8   -20.6
  231    3.89432    -6.5  0.00158  0.00158     1.6929E8     1.7558E8   -20.6
  232    3.89855   -6.49  0.00156  0.00156     1.6982E8     1.7609E8   -20.6
  233    3.90276   -6.49  0.00156  0.00156     1.7004E8     1.7661E8   -20.6
  234    3.90696   -6.48  0.00162  0.00162     1.7073E8     1.7713E8   -20.6
  235    3.91115   -6.47  0.00161  0.00161     1.7124E8     1.7766E8   -20.6
  236    3.91532   -6.47  0.00162  0.00162     1.7132E8     1.7820E8   -20.6
  237    3.91948   -6.46  0.00163  0.00163     1.7218E8     1.7871E8   -20.6
  238    3.92362   -6.45  0.00158  0.00158     1.7269E8     1.7923E8   -20.6
  239    3.92775   -6.45  0.00174  0.00174     1.7320E8     1.7977E8   -20.6
  240    3.93187   -6.44  0.00178  0.00178     1.7357E8     1.8027E8   -20.6
  241    3.93598   -6.44  0.00176  0.00176     1.7405E8     1.8080E8   -20.6
  242    3.94007   -6.43  0.00177  0.00176     1.7456E8     1.8130E8   -20.6
  243    3.94415   -6.42  0.00171   0.0017     1.7506E8     1.8183E8   -20.6
  244    3.94822   -6.41  0.00168  0.00168     1.7540E8     1.8236E8   -20.6
  245    3.95228    -6.4  0.00161  0.00161     1.7630E8     1.8287E8   -20.6
  246    3.95632   -6.39  0.00161  0.00161     1.7680E8     1.8338E8   -20.6
  247    3.96035   -6.39  0.00158  0.00158     1.7708E8     1.8388E8   -20.6
  248    3.96437   -6.39  0.00163  0.00162     1.7757E8     1.8441E8   -20.6
  249    3.96838   -6.38  0.00166  0.00165     1.7807E8     1.8491E8   -20.6
  250    3.97237   -6.37  0.00168  0.00167     1.7856E8     1.8540E8   -20.6
  251    3.97635   -6.37  0.00172  0.00172     1.7881E8     1.8591E8   -20.6
  252    3.98032   -6.36  0.00175  0.00175     1.7987E8     1.8640E8   -20.6
  253    3.98428   -6.35   0.0017   0.0017     1.8011E8     1.8691E8   -20.6
  254    3.98823   -6.34  0.00188  0.00188     1.8102E8     1.8741E8   -20.6
  255    3.99216   -6.32  0.00205  0.00205     1.8190E8     1.8791E8   -20.6
  256    3.99609   -6.33  0.00206  0.00205     1.8212E8     1.8842E8   -20.7
  257    4.00000   -6.32  0.00208  0.00208     1.8261E8     1.8892E8   -20.7
  258    4.00390   -6.32  0.00205  0.00204     1.8270E8     1.8941E8   -20.7
  259    4.00779   -6.31  0.00201  0.00201     1.8319E8     1.8990E8   -20.7
  260    4.01167   -6.31  0.00198  0.00198     1.8368E8     1.9040E8   -20.7
  261    4.01553    -6.3  0.00184  0.00184     1.8405E8     1.9090E8   -20.7
  262    4.01939   -6.29  0.00183  0.00183     1.8453E8     1.9139E8   -20.7
  263    4.02323   -6.28  0.00186  0.00186     1.8501E8     1.9187E8   -20.7
  264    4.02707   -6.28  0.00184  0.00184     1.8550E8     1.9236E8   -20.7
  265    4.03089   -6.27  0.00193  0.00193     1.8584E8     1.9285E8   -20.7
  266    4.03470   -6.27  0.00205  0.00205     1.8632E8     1.9334E8   -20.7
  267    4.03850   -6.27  0.00205  0.00205     1.8637E8     1.9383E8   -20.7
  268    4.04229   -6.26    0.002  0.00199     1.8717E8     1.9431E8   -20.7
  269    4.04607   -6.26   0.0021   0.0021     1.8720E8     1.9479E8   -20.7
  270    4.04984   -6.24  0.00203  0.00203     1.8813E8     1.9528E8   -20.7
  271    4.05360   -6.24  0.00204  0.00204     1.8837E8     1.9575E8   -20.7
  272    4.05735   -6.23  0.00189  0.00189     1.8885E8     1.9623E8   -20.7
  273    4.06109   -6.23  0.00194  0.00194     1.8933E8     1.9671E8   -20.7
  274    4.06481   -6.23  0.00199  0.00198     1.8943E8     1.9720E8   -20.7
  275    4.06853   -6.22  0.00195  0.00194     1.8991E8     1.9767E8   -20.7
  276    4.07224   -6.21  0.00193  0.00192     1.9084E8     1.9814E8   -20.7
  277    4.07594   -6.21  0.00193  0.00193     1.9071E8     1.9862E8   -20.7
  278    4.07962    -6.2   0.0019  0.00189     1.9151E8     1.9909E8   -20.7
  279    4.08330   -6.19  0.00194  0.00193     1.9198E8     1.9956E8   -20.7
  280    4.08697   -6.19  0.00189  0.00189     1.9228E8     2.0003E8   -20.7
  281    4.09062   -6.18  0.00184  0.00184     1.9274E8     2.0051E8   -20.7
  282    4.09427   -6.17  0.00182  0.00182     1.9319E8     2.0099E8   -20.7
  283    4.09791   -6.17  0.00198  0.00198     1.9365E8     2.0145E8   -20.7
  284    4.10154   -6.16  0.00186  0.00185     1.9411E8     2.0192E8   -20.7
  285    4.10516   -6.15  0.00196  0.00196     1.9456E8     2.0238E8   -20.7
  286    4.10876   -6.15   0.0019   0.0019     1.9502E8     2.0285E8   -20.7
  287    4.11236   -6.14  0.00197  0.00197     1.9549E8     2.0332E8   -20.7
  288    4.11595   -6.13  0.00195  0.00195     1.9594E8     2.0377E8   -20.7
  289    4.11953   -6.13  0.00204  0.00203     1.9640E8     2.0423E8   -20.7
  290    4.12311   -6.12  0.00197  0.00197     1.9684E8     2.0470E8   -20.7
  291    4.12667   -6.12    0.002    0.002     1.9702E8     2.0516E8   -20.7
  292    4.13022   -6.12  0.00195  0.00195     1.9747E8     2.0562E8   -20.7
  293    4.13376   -6.11  0.00198  0.00198     1.9792E8     2.0605E8   -20.7
  294    4.13730    -6.1  0.00197  0.00196     1.9837E8     2.0653E8   -20.7
  295    4.14082    -6.1  0.00196  0.00196     1.9882E8     2.0697E8   -20.7
  296    4.14434   -6.08  0.00196  0.00196     1.9976E8     2.0743E8   -20.8
  297    4.14785   -6.09  0.00195  0.00195     1.9955E8     2.0788E8   -20.8
  298    4.15135   -6.08  0.00192  0.00191     1.9999E8     2.0833E8   -20.8
  299    4.15484   -6.07  0.00188  0.00188     2.0044E8     2.0879E8   -20.8
  300    4.15832   -6.06  0.00199  0.00198     2.0088E8     2.0923E8   -20.8
  301    4.16179   -6.06  0.00195  0.00195     2.0132E8     2.0968E8   -20.8
  302    4.16526   -6.05  0.00199  0.00199     2.0219E8     2.1013E8   -20.8
  303    4.16871   -6.04  0.00201    0.002     2.0242E8     2.1057E8   -20.8
  304    4.17216   -6.04  0.00206  0.00205     2.0272E8     2.1103E8   -20.8
  305    4.17560   -6.05    0.002    0.002     2.0243E8     2.1146E8   -20.8
  306    4.17902   -6.04  0.00206  0.00205     2.0286E8     2.1191E8   -20.8
  307    4.18245   -6.04  0.00221  0.00221     2.0330E8     2.1236E8   -20.8
  308    4.18586   -6.04  0.00274  0.00273     2.0326E8     2.1280E8   -20.8
  309    4.18926   -6.03   0.0026  0.00259     2.0369E8     2.1324E8   -20.8
  310    4.19266   -6.03  0.00278  0.00278     2.0429E8     2.1367E8   -20.8
  311    4.19605   -6.01   0.0024  0.00239     2.0537E8     2.1413E8   -20.8
  312    4.19943   -6.01  0.00234  0.00233     2.0581E8     2.1456E8   -20.8
  313    4.20280     -6.  0.00225  0.00224     2.0600E8     2.1500E8   -20.8
  314    4.20616     -6.  0.00221  0.00221     2.0651E8     2.1543E8   -20.8
  315    4.20952   -5.99  0.00214  0.00213     2.0694E8     2.1587E8   -20.8
  316    4.21287   -5.98  0.00212  0.00211     2.0742E8     2.1631E8   -20.8
  317    4.21621   -5.97   0.0021  0.00209     2.0786E8     2.1674E8   -20.8
  318    4.21954   -5.97  0.00213  0.00212     2.0827E8     2.1717E8   -20.8
  319    4.22286   -5.95  0.00208  0.00208     2.0916E8     2.1760E8   -20.8
  320    4.22618   -5.96   0.0021  0.00209     2.0918E8     2.1803E8   -20.8
  321    4.22949   -5.95  0.00203  0.00202     2.0961E8     2.1846E8   -20.8
  322    4.23279   -5.95  0.00217  0.00216     2.1003E8     2.1888E8   -20.8
  323    4.23608   -5.94  0.00207  0.00207     2.1045E8     2.1930E8   -20.8
