# row  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
#                                                                 pixel

    1   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
  208  0.0015  -3.12E-4  0.0015  1240     0   100     2       1.7   2.0
  209 0.00154  -0.00306 0.00155  1243     0    10     0     0.735   2.0
  210 0.00168  -0.00382 0.00169  1248     0    10     0     0.553   2.0
  211 0.00156    -0.006 0.00157  1257     0    10     0      0.23   2.0
  212 0.00149  -0.00367  0.0015  1261     0    10     0     0.338   2.0
  213 0.00144  -0.00301 0.00145  1264     0    10     0     0.298   2.0
  214 0.00138  -1.33E-4 0.00138  1270     0   100     2      1.41   2.0
  215  0.0014   0.00172 0.00141  1276     0   100     2      2.73   2.0
  216 0.00146   0.00249 0.00147  1276     0   100     2      2.38   2.0
  217 0.00151   0.00255 0.00151  1282     0   100     2      2.37   2.0
  218  0.0014  -6.91E-4  0.0014  1288     0    10     0    0.0462   2.0
  219 0.00149   3.71E-4 0.00149  1293     0    10     0     0.185   2.0
  220 0.00156   0.00361 0.00157  1294     0    10     0      1.06   2.0
  221  0.0017   0.00769 0.00171  1297     0    10     0      1.31   2.0
  222 0.00165   0.00767 0.00166  1303     0    10     0     0.315   2.0
  223 0.00161   0.00489 0.00161  1312     0    10     0      1.34   2.0
  224 0.00164   0.00403 0.00165  1321     0    10     0     0.276   2.0
  225 0.00168   0.00289 0.00168  1327     0    10     0     0.751   2.0
  226 0.00161   0.00244 0.00162  1331     0    10     0     0.913   2.0
  227 0.00156   0.00167 0.00157  1338     0    10     0     0.507   2.0
  228 0.00148   0.00114 0.00148  1347     0    10     0     0.713   2.0
  229 0.00155   9.99E-4 0.00156  1352     0   100     2      1.99   2.0
  230 0.00162   5.14E-6 0.00163  1358     0   100     2      1.45   2.0
  231 0.00153  -0.00122 0.00153  1364     0   100     2     0.693   2.0
  232 0.00149   0.00401  0.0015  1370     0    10     0      1.19   2.0
  233  0.0015   0.00362 0.00151  1372     0    10     0     0.299   2.0
  234  0.0016   0.00169  0.0016  1380     0    10     0    0.0977   2.0
  235 0.00154   6.04E-4 0.00155  1386     0   100     2     0.583   2.0
  236 0.00154  -7.05E-5 0.00155  1387     0   100     2      1.59   2.0
  237 0.00158   0.00216 0.00158  1397     0    10     0      1.37   2.0
  238 0.00147  -6.74E-4 0.00147  1403     0    10     0     0.783   2.0
  239 0.00161  -0.00138 0.00162  1409     0   100     2      1.78   2.0
  240 0.00166   0.00102 0.00167  1413     0    10     0     0.579   2.0
  241 0.00166   4.26E-4 0.00166  1419     0    10     0      0.76   2.0
  242  0.0017  -1.96E-4 0.00171  1425     0    10     0      1.27   2.0
  243  0.0017   2.44E-4 0.00171  1431     0   100     2      2.01   2.0
  244 0.00164   0.00375 0.00165  1435     0    10     0     0.837   2.0
  245 0.00149   0.00211  0.0015  1445     0   100     2     0.607   2.0
  246 0.00152   0.00717 0.00154  1451     0   100     2     0.862   2.0
  247 0.00146   0.00402 0.00147  1454     0    10     0     0.874   2.0
  248 0.00153  -2.28E-4 0.00154  1460     0   100     2      1.22   2.0
  249 0.00162  -0.00283 0.00162  1466     0   100     2     0.782   2.0
  250 0.00163  -0.00209 0.00163  1472     0    10     0      1.25   2.0
  251 0.00161  -4.48E-4 0.00162  1475     0    10     0     0.574   2.0
  252 0.00159  -0.00352  0.0016  1488     0    10     0     0.408   2.0
  253  0.0015  -0.00191  0.0015  1491     0    10     0     0.445   2.0
  254 0.00173  -0.00382 0.00174  1502     0    10     0       0.4   2.0
  255 0.00193  -0.00344 0.00193  1513     0    10     0      1.03   2.0
  256 0.00188  -0.00313 0.00189  1515     0    10     0     0.955   2.0
  257 0.00192  -0.00238 0.00193  1521     0    11     0      1.72   2.0
  258 0.00183   -0.0025 0.00183  1522     0    10     0      1.05   2.0
  259 0.00174  -1.29E-4 0.00174  1528     0    10     0     0.565   2.0
  260 0.00171  -0.00123 0.00171  1534     0    10     0      1.21   2.0
  261 0.00163   2.81E-4 0.00162  1538     0    10     0     0.643   2.0
  262 0.00161  -0.00375  0.0016  1544     0    10     0      1.52   2.0
  263  0.0017  -8.27E-4  0.0017  1550     0    10     0      1.52   2.0
  264 0.00166   7.32E-4 0.00167  1556     0   100     2     0.665   2.0
  265 0.00177   0.00212 0.00178  1560     0    10     0     0.131   2.0
  266 0.00182   5.87E-4 0.00182  1566     0    10     0     0.456   2.0
  267 0.00187   0.00266 0.00188  1567     0    10     0     0.725   2.0
  268 0.00176  -7.94E-4 0.00177  1577     0    10     0      0.37   2.0
  269 0.00186   6.42E-4 0.00186  1577     0    10     0      1.72   2.0
  270 0.00179  -0.00177 0.00179  1589     0   100     2      1.01   2.0
  271 0.00179  -0.00105 0.00179  1592     0    10     0     0.924   2.0
  272 0.00161  -0.00425 0.00161  1598     0   100     2      1.15   2.0
  273 0.00172  -4.93E-5 0.00172  1604     0    10     0      1.28   2.0
  274 0.00164   8.72E-4 0.00164  1605     0    12     0      1.55   2.0
  275 0.00174   1.22E-5 0.00174  1611     0    10     0      1.39   2.0
  276 0.00175     0.002 0.00175  1623     0   100     2     0.995   2.0
  277 0.00167   0.00295 0.00167  1621     0    11     0      1.43   2.0
  278  0.0017   0.00323  0.0017  1631     0    11     0      1.48   2.0
  279 0.00179   0.00161 0.00179  1637     0    10     0     0.868   2.0
  280 0.00172   0.00104 0.00172  1641     0    13     0      1.28   2.0
  281 0.00168   0.00328 0.00168  1647     0   100     2      1.46   2.0
  282 0.00169   0.00308  0.0017  1652     0    10     0      1.36   2.0
  283 0.00182   6.23E-4 0.00182  1658     0    10     0     0.767   2.0
  284 0.00168   8.07E-4 0.00168  1664     0    10     0     0.703   2.0
  285 0.00177  -8.74E-4 0.00178  1670     0    10     0     0.454   2.0
  286  0.0017  -0.00112  0.0017  1676     0   100     2      1.32   2.0
  287 0.00176  -5.27E-4 0.00177  1682     0    10     0     0.847   2.0
  288 0.00177   0.00203 0.00177  1688     0   100     2      1.54   2.0
  289 0.00187   0.00508 0.00188  1693     0   100     2      2.41   2.0
  290 0.00182  -0.00189 0.00182  1699     0   100     2      1.51   2.0
  291 0.00183   0.00246 0.00184  1702     0    11     0      1.38   2.0
  292 0.00169   0.00157 0.00169  1707     0    10     0      1.17   2.0
  293 0.00174  -0.00119 0.00175  1713     0   100     2      1.65   2.0
  294 0.00176   6.73E-4 0.00177  1719     0    10     0      1.36   2.0
  295 0.00169   -0.0013 0.00169  1725     0   100     2     0.795   2.0
  296 0.00172   0.00159 0.00172  1738     0    10     0      1.36   2.0
  297 0.00169   8.40E-4 0.00169  1735     0   100     2     0.893   2.0
  298 0.00174   0.00161 0.00174  1741     0   100     2     0.835   2.0
  299 0.00163   0.00171 0.00163  1746     0   100     2      1.47   2.0
  300 0.00179  -5.47E-4  0.0018  1752     0   100     2      2.22   2.0
  301  0.0017  -0.00142 0.00171  1758     0    10     0      1.38   2.0
  302 0.00168  -0.00548 0.00169  1770     0   100     2     0.957   2.0
  303 0.00184  -0.00363 0.00184  1773     0   100     2     0.929   2.0
  304 0.00167  -0.00226 0.00167  1777     0   100     2      1.07   2.0
  305  0.0017  -0.00191  0.0017  1773     0   100     2      1.85   2.0
  306 0.00176  -0.00144 0.00176  1778     0   100     2       1.1   2.0
  307 0.00182   3.16E-4 0.00182  1784     0    10     0      1.54   2.0
  308  0.0024   0.00486 0.00241  1783     0    10     0      1.44   2.0
  309 0.00224   0.00376 0.00225  1789     0   100     2      2.01   2.0
  310 0.00232   0.00102 0.00232  1797     0    10     0     0.579   2.0
  311   0.002   4.90E-4 0.00201  1812     0    10     0     0.335   2.0
  312 0.00206   0.00153 0.00207  1818     0    10     0      1.28   2.0
  313 0.00203   6.91E-4 0.00204  1821     0    10     0     0.414   2.0
  314 0.00206   2.70E-4 0.00207  1828     0    10     0     0.614   2.0
  315 0.00204  -0.00152 0.00204  1833     0   100     2     0.342   2.0
  316 0.00205   9.82E-4 0.00206  1840     0    10     0      1.06   2.0
  317 0.00194   1.09E-4 0.00195  1846     0   100     2      1.77   2.0
  318 0.00197   5.92E-4 0.00197  1852     0   100     2      1.47   2.0
  319 0.00191   -0.0025 0.00192  1864     0    10     0     0.807   2.0
  320 0.00188  -4.66E-4 0.00189  1864     0    10     0    0.0889   2.0
  321 0.00188  -0.00159 0.00188  1870     0    10     0     0.751   2.0
  322 0.00193  -0.00243 0.00194  1876     0    10     0      1.14   2.0
  323 0.00178   -0.0014 0.00179  1882     0   100     2      1.28   2.0
  324 0.00185  -0.00635 0.00186  1888     0    10     0     0.407   2.0
  325 0.00183  -0.00487 0.00184  1890     0    10     0      1.11   2.0
  326 0.00191  -0.00475 0.00193  1896     0    11     0      1.28   2.0
  327 0.00184  -0.00591 0.00186  1898     0    10     0     0.712   2.0
  328  0.0019  -0.00549 0.00191  1911     0    10     0       1.1   2.0
  329 0.00193  -0.00623 0.00194  1907     0    15     0      1.27   2.0
  330 0.00194  -0.00306 0.00195  1925     0   100     2     0.757   2.0
  331 0.00186  -0.00295 0.00187  1928     0    10     0      1.08   2.0
  332 0.00193  -0.00155 0.00194  1924     0    10     0        1.   2.0
  333 0.00201   -0.0045 0.00202  1944     0   100     2      1.49   2.0
  334 0.00194  -0.00649 0.00197  1948     0   100     2      1.89   2.0
  335 0.00202  -0.00594 0.00204  1950     0    39     0      1.32   2.0
  336 0.00201  -0.00268 0.00201  1948     0   100     2      1.15   2.0
  337 0.00226  -0.00392 0.00227  1957     0    10     0      1.14   2.0
  338 0.00301  -0.00139 0.00298  1962     0    12     0      1.81   2.0
  339 0.00329   0.00674 0.00327  1961     0    10     0      1.53   2.0
  340 0.00295   0.00381 0.00296  1957     0    11     0      1.08   2.0
  341 0.00301   0.00338   0.003  1962     0    10     0     0.548   2.0
  342 0.00301   0.00242 0.00299  1968     0   100     2     0.818   2.0
  343 0.00292   0.00518  0.0029  1974     0    13     0      1.77   2.0
  344 0.00287  -6.93E-4 0.00286  1980     0    12     0      1.65   2.0
  345  0.0026   5.04E-4  0.0026  2000     0    12     0      1.66   2.0
  346 0.00294   0.00554 0.00296  2005     0    14     0      1.15   2.0
  347 0.00294  -2.92E-5 0.00288  1997     0   100     2     0.817   2.0
  348 0.00243   0.00181 0.00244  2011     0   100     2     0.428   2.0
  349 0.00236  -0.00333 0.00238  2017     0   100     2      1.24   2.0
  350 0.00228   0.00165 0.00228  2022     0   100     2      2.49   2.0
  351 0.00217   -0.0033 0.00218  2028     0    10     0      1.49   2.0
  352 0.00195  -3.27E-4 0.00195  2034     0   100     2     0.923   2.0
  353 0.00195  -0.00581 0.00197  2040     0   100     2      1.19   2.0
  354 0.00218  -0.00874 0.00221  2045     0   100     2     0.977   2.0
  355 0.00214  -0.00651 0.00216  2054     0    10     0      1.58   2.0
