# row  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4
#                                                                        

    1   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF
  143   -20.2  58633  63305  -0.00264 0.00126   9.40E-4 0.00126   6.02E-4
  144   -20.2  59127  64209   -0.0025 0.00127   8.55E-4 0.00128   6.98E-4
  145   -20.2  59877  65101   -0.0038 0.00127   0.00288 0.00127  -0.00174
  146   -20.2  60803  66045  -0.00103 0.00118   0.00344 0.00119  -0.00289
  147   -20.3  61981  66957  -6.09E-4 0.00111   0.00484 0.00112  -0.00372
  148   -20.3  62875  67857  -0.00114 0.00114    0.0036 0.00115  -0.00353
  149   -20.3  63743  68777  -0.00493 0.00114     0.003 0.00114  -8.14E-4
  150   -20.3  64445  69729  -0.00354 0.00109   0.00184 0.00109  -7.67E-4
  151   -20.3  65243  70681  -0.00152 0.00111   0.00148 0.00111  -0.00203
  152   -20.3  66065  71613  -7.59E-4 0.00108   0.00346 0.00109    0.0015
  153   -20.3  67275  72533   4.72E-4  0.0011   0.00312  0.0011   0.00209
  154   -20.3  67997  73517   0.00201 0.00117   3.11E-4 0.00118   0.00191
  155   -20.3  69441  74457   0.00204 0.00119   0.00275 0.00119   0.00523
  156   -20.3  70181  75465   0.00312 0.00117   0.00194 0.00117   0.00482
  157   -20.3  70675  76425   0.00302 0.00124   0.00287 0.00124   0.00235
  158   -20.3  71705  77401   0.00182 0.00116   0.00265 0.00116   0.00226
  159   -20.3  72417  78413   0.00206 0.00121   0.00175 0.00122   0.00199
  160   -20.3  73661  79381   6.58E-4 0.00114    0.0014 0.00115   1.30E-4
  161   -20.3  74973  80381   0.00261 0.00117   0.00119 0.00117   1.62E-4
  162   -20.3  76109  81377   0.00132  0.0012  -7.13E-4 0.00121   0.00243
  163   -20.3  76807  82433    0.0011 0.00121   7.77E-4 0.00122   0.00324
  164   -20.3  77561  83457   7.82E-4 0.00124  -1.46E-4 0.00124   0.00257
  165   -20.3  78469  84461  -0.00375 0.00115  -0.00103 0.00115   1.31E-4
  166   -20.4  79445  85501  -0.00163 0.00124   5.23E-4 0.00124  -0.00134
  167   -20.4  79963  86525  -0.00134 0.00134   0.00162 0.00135  -0.00132
  168   -20.4  80707  87605   1.11E-4 0.00128     0.001 0.00129  -6.48E-4
  169   -20.4  81837  88633   0.00183 0.00115   0.00231 0.00116   7.92E-4
  170   -20.4  82881  89673  -3.59E-4 0.00125   0.00398 0.00126   0.00215
  171   -20.4  83641  90785   0.00124 0.00125   0.00383 0.00126  -3.34E-4
  172   -20.4  84683  91829  -6.31E-5 0.00126   0.00211 0.00127  -0.00231
  173   -20.4  85483  92909  -0.00154 0.00119   0.00114 0.00119  -0.00414
  174   -20.4  86309  93981   0.00117 0.00121  -0.00125 0.00122  -0.00467
  175   -20.4  87071  95093   0.00167  0.0013  -0.00152  0.0013  -0.00232
  176   -20.4  88057  96209   0.00101  0.0013  -0.00178 0.00131  -0.00127
  177   -20.4  88931  97273  -9.38E-4 0.00131  -0.00236 0.00131  -0.00117
  178   -20.4  90187  98385   4.49E-4 0.00126  -8.14E-4 0.00126  -1.26E-5
  179   -20.4  91359  99477  -0.00175 0.00128  -0.00213 0.00129  -3.65E-4
  180   -20.4  92363 100621  -1.81E-4 0.00137  -0.00155 0.00138  -0.00294
  181   -20.4  93411 101765  -6.67E-4 0.00128   0.00191 0.00129  -0.00219
  182   -20.4  94473 102873  -8.48E-4 0.00129   0.00106 0.00129  -0.00116
  183   -20.4  95513 104017  -0.00146 0.00127   0.00181 0.00127  -0.00224
  184   -20.4  95999 105185  -1.37E-4 0.00129  -2.62E-4  0.0013  -0.00381
  185   -20.4  97837 106353   0.00156 0.00127   1.59E-4 0.00128  -0.00137
  186   -20.4  98913 107501  -0.00197 0.00135   4.76E-4 0.00136   -0.0025
  187   -20.4  99653 108637  -5.13E-4 0.00133   9.59E-4 0.00134  -0.00588
  188   -20.5 101171 109845   0.00202 0.00133   4.00E-4 0.00134  -7.22E-4
  189   -20.5 102261 111009   0.00389 0.00139    0.0023 0.00139    0.0013
  190   -20.5 103343 112193   1.29E-4 0.00126  -5.14E-4 0.00126   0.00155
