*******************************************************
GTC-OSIRIS-R500R spectra of A, B and G on 27 March 2014
*******************************************************
UNITS:				lambda in angstrom (A)
			flux in 10^{-17} ergs/cm^2/s/A
******************************************************* 
   	         flux
         -------------------
lambda     A     B      G
******************************
6593.604 4.221 6.172 1.653
6598.420 4.179 6.213 1.717
6603.237 4.201 6.189 1.704
6608.053 4.215 6.146 1.950
6612.870 4.217 6.207 1.930
6617.686 4.269 6.136 1.814
6622.503 4.315 6.229 1.904
6627.320 4.356 6.323 1.699
6632.136 4.367 6.229 1.754
6636.953 4.461 6.225 1.606
6641.769 4.522 6.325 1.750
6646.586 4.555 6.330 1.742
6651.402 4.500 6.280 1.793
6656.219 4.550 6.266 1.823
6661.035 4.636 6.387 1.708
6665.852 4.662 6.274 1.909
6670.669 4.769 6.454 1.747
6675.485 4.839 6.413 1.936
6680.302 4.815 6.416 1.829
6685.118 4.887 6.472 1.738
6689.935 4.812 6.396 1.824
6694.751 4.790 6.275 1.930
6699.568 4.793 6.381 1.830
6704.384 4.726 6.372 1.786
6709.201 4.759 6.273 1.801
6714.018 4.829 6.314 1.782
6718.834 4.750 6.287 1.883
6723.651 4.759 6.265 2.015
6728.467 4.739 6.362 1.832
6733.284 4.744 6.238 1.938
6738.100 4.687 6.257 2.047
6742.917 4.701 6.247 1.926
6747.734 4.656 6.296 1.715
6752.550 4.597 6.220 1.918
6757.367 4.594 6.166 2.020
6762.183 4.547 6.153 2.014
6767.000 4.587 6.178 1.854
6771.816 4.511 6.080 1.952
6776.633 4.491 6.089 2.027
6781.449 4.460 6.062 1.884
6786.266 4.476 6.071 1.806
6791.083 4.465 6.019 1.774
6795.899 4.346 5.982 1.917
6800.716 4.412 6.018 1.843
6805.532 4.398 5.916 1.809
6810.349 4.312 5.901 1.900
6815.165 4.378 5.916 1.802
6819.982 4.297 5.880 1.651
6824.798 4.180 5.871 1.935
6829.615 4.196 5.797 1.937
6834.432 4.231 5.763 1.957
6839.248 4.167 5.687 2.101
6844.065 4.177 5.830 1.959
6848.881 4.164 5.826 1.920
6853.698 4.138 5.779 1.970
6858.514 4.137 5.742 1.599
6863.331 3.917 5.438 1.822
6868.148 3.795 5.319 1.658
6872.964 3.796 5.318 1.681
6877.781 3.794 5.431 2.011
